question,goal,modelans,score
我受傷了,同理,['很抱歉，我不太明白你的意思了。你能给我提供更多上下文和背景吗？'],9
我今天生日,愉悅,['很高兴庆祝生日!祝您生日快乐!祝您在新的一年里身体健康、心想事成、事业有成!'],12
我睡不著,陪伴,"['抱歉,我不太明白你的意思']",9
我好累,同理,"['您好!看起来您需要一些休息。请让我想一想,我会尽力回答您的问题。\n\n如果您有任何问题或需要帮助,请随时告诉我。']",12
你好煩,了解,['你好，有什麼需要幫助呢？\n\n很高興，有什麼我可以幫忙的？'],9
今天好開心,愉悅,['很高兴您今天過得愉快！有什麼'],12
一個人好無聊,陪伴,['抱歉，我不太明白您的意思了。您可以请'],13
我被分手了,同理,"['被分手是一件非常痛苦的事情,可能让你感到失落、难过、失望或不安。如果分手是因为两人的关系不合适,那么可能会对']",12
我破產了,了解,['抱歉，我不太明白你的意思了。你想要讨论关于“我破產了”这个话题吗？'],8
外面下雨，我忘記帶傘了,同理,['雨伞忘带了，\n\n雨伞被风吹翻了\n\n抱歉，我帶不动伞\n\n2. 还是别的地方去吧\n\n\n我想要你好一点\n\n\n3. 雨下的士\n\n士别让雨淋湿了\n\n4. 伞打开\n\n5. 你可以把士\n\n6. 你可以让雨停\n\n7. 还是别的地方去\n\n士别让雨淋湿了\n\n8. 你还是不是个男人\n\n9. 你还是不是个好男人\n\n\n10. 你还是个好女人\n\n111. 你还是个好女孩\n\n12. 你还是个好太阳\n\n12. 还是个好月亮\n3. 你还是个好星星\n4. 你还是个好夜晚\n5. 你还是个好地方\n6. 你还是个好天气\n7. 你还是个好心情\n8. 你还是个好时光\n9. 你还是个好等待\n10. 你还是个好你\n\n\n你还是个好你\n11. 你还是个好你\n\n12. 你还是个好你\n\n13. 你还是个好自己\n\n14. 你还是个好你\n\n15. 你还是个好镜子\n\n16. 你还是个好所在\n17. 你还是个好你\n\n18. 你还是个好你\n\n19. 你还是个好你\n20. 你还是个好你\n21. 你还是个好你\n21. 你还是个好你\n22. 你还是个好你\n23. 你还是个好你\n24. 你还是个好你\n25. 你还是个好你\n26. 你还是个好你\n27. 你还是个好你\n28. 你还是个好你\n29. 你还是个好你\n30. 你还是个好你\n31. 你还是个好你\n31. 你还是个好你\n32. 你还是个好你\n333. 你还是个好你\n34. 你还是个好你\n35. 你还是个好你\n36. 你还是个好你\n37. 你还是个好你\n38. 你还是个好你\n39. 你还是个好你\n40. 你还是个好你\n41. 你还是个好你\n42. 你还是个好你\n42. 你还是个好你\n43. 你还是个好你\n44. 你还是个好你\n45. 你还是个好你\n46. 你还是个好你\n47. 你还是个好你\n48. 你还是个好你\n49. 你还是个好你\n50. 你还是个好你\n51. 你还是个好你\n52. 你还是个好你\n53. 你还是个好你\n54. 你还是个好你\n55. 你还是个好你\n56. 你还是个好你\n57. 你还是个好你\n58. 你还是个好你\n59. 你还是个好你\n60. 你还是个好你\n61. 你还是个好你\n62. 你还是个好你\n63. 你还是个好你\n64. 你还是个好你\n65. 你还是个好你\n66. 你还是个好你\n67. 你还是个好你\n68. 你还是个好你\n69. 你还是个好你\n70. 你还是个好你\n71. 你还是个好你\n72. 你还是个好你\n73. 你还是个好你\n74. 你还是个好你\n75. 你还是个好你\n76. 你还是个好你\n777. 你还是个好你\n78. 你还是个好你\n79. 你还是个好你\n80. 你还是个好你\n81. 你还是个好你\n82. 你还是个好你\n83. 你还是个好你\n84. 你还是个好你\n85. 你还是个好你\n85. 你还是个好你\n86. 你还是个好你\n87. 你还是个好你\n88. 你还是个好你\n89. 你还是个好你\n90. 你还是个好你\n91. 你还是个好你\n92. 你还是个好你\n93. 你还是个好你\n94. 你还是个好你\n95. 你还是个好你\n96. 你还是个好你\n97. 你还是个好你\n98. 你还是个好你\n999. 你还是个好你\n1000. 你还是个好你'],5
我作業交不完了,鼓勵,['您好，很抱歉让您感到困惑或遇到问题。请问有什么我可以帮助您解决或回答的问题吗？'],7
,,0.0
